passenger_id,Pclass,Sex_female,Sex_male,Age,SibSp,Parch,Fare,Embarked_S,Embarked_Q
0,3,False,True,-0.5636740664747023,1,0,-0.5002397510893574,True,False
1,1,True,False,0.6692169576775449,1,0,0.788946607905507,False,False
2,3,True,False,-0.2554513104366405,0,0,-0.48664993466069395,True,False
3,1,True,False,0.4380498906489985,1,0,0.4228611129909654,True,False
4,3,False,True,0.4380498906489985,0,0,-0.4841333019887193,True,False
5,3,False,True,-0.10133993241760961,0,0,-0.47591297302898106,False,True
6,1,False,True,1.902107981829792,0,0,0.39794644953841574,True,False
7,3,False,True,-2.104787846665011,3,1,-0.22190017756895475,True,False
8,3,True,False,-0.17839562142712506,0,2,-0.4220570338487224,True,False
9,2,True,False,-1.1801195785508258,1,0,-0.040787184044554156,False,False
10,3,True,False,-1.9506764686459803,1,1,-0.3099823210880695,True,False
11,1,True,False,2.210330737867854,0,0,-0.11167166653646252,True,False
12,3,False,True,-0.7177854444937332,0,0,-0.4841333019887193,True,False
13,3,False,True,0.7462726466870603,1,5,-0.016542951535818605,True,False
14,3,True,False,-1.1801195785508258,0,0,-0.4880753554061005,True,False
15,2,True,False,1.9791636708393074,0,0,-0.32407546405112786,True,False
16,3,False,True,-2.104787846665011,4,1,-0.05982903349378355,False,True
17,2,False,True,-0.10133993241760961,0,0,-0.38447464817852084,True,False
18,3,True,False,0.12982713461093673,1,0,-0.28380934129953256,True,False
19,3,True,False,-0.10133993241760961,0,0,-0.5007430776237524,False,False
20,2,False,True,0.4380498906489985,0,0,-0.12274485029315124,True,False
21,2,False,True,0.36099420163948304,0,0,-0.38447464817852084,True,False
22,3,True,False,-1.1030638895413103,0,0,-0.48455206966533587,False,True
23,1,False,True,-0.10133993241760961,0,0,0.06851923277692655,True,False
24,3,True,False,-1.6424537126079184,3,1,-0.22190017756895475,True,False
25,3,True,False,0.6692169576775449,1,5,-0.014277982131041355,True,False
26,3,False,True,-0.10133993241760961,0,0,-0.5007430776237524,False,False
